FROM_ID,TO_ID,DURATION_H,DIST_KM
"1","1",0,0
"1","2",0.190888888888889,6.9677
"1","3",0.2173,8.40007
"1","4",0.329936111111111,11.74627
"1","5",0.356683333333333,14.56027
"1","6",0.0527166666666667,2.1051
"1","7",0.133263888888889,4.72596
"1","8",0.185772222222222,7.17172
"1","9",0.243811111111111,10.21782
"1","10",0.399766666666667,25.49884
"1","11",0.227013888888889,10.74279
"1","12",0.200986111111111,7.61512
"1","13",0.222613888888889,8.58662
"1","14",0.323455555555556,11.95737
"1","15",0.410388888888889,15.00633
"1","16",0.217763888888889,7.61218
"1","17",0.197838888888889,7.75723
"1","18",0.277680555555556,10.6821
"1","19",0.375691666666667,22.44122
"1","20",0.354194444444444,21.98279
"1","21",0.216058333333333,10.83054
"1","22",0.219044444444444,11.78427
"1","23",0.285044444444444,17.317
"1","24",0.394088888888889,15.35788
"1","25",0.448877777777778,18.98976
"2","1",0.195094444444444,7.93571
"2","2",0,0
"2","3",0.0672944444444444,2.67641
"2","4",0.179933333333333,6.02261
"2","5",0.223963888888889,8.96437
"2","6",0.155063888888889,5.79762
"2","7",0.142675,4.88637
"2","8",0.130658333333333,4.58424
"2","9",0.117502777777778,4.85523
"2","10",0.283775,10.49207
"2","11",0.311152777777778,13.37125
"2","12",0.208444444444444,7.09532
"2","13",0.180030555555556,6.64157
"2","14",0.220866666666667,7.90632
"2","15",0.3078,10.95528
"2","16",0.301902777777778,10.24065
"2","17",0.233786111111111,9.16314
"2","18",0.266627777777778,9.32715
"2","19",0.305852777777778,11.89729
"2","20",0.258888888888889,10.50324
"2","21",0.304366666666667,12.63344
"2","22",0.307355555555556,13.58716
"2","23",0.271591666666667,13.08638
"2","24",0.356375,13.58938
"2","25",0.411163888888889,17.22125
"3","1",0.205538888888889,8.58108
"3","2",0.0792361111111111,3.11874
"3","3",0,0
"3","4",0.118972222222222,3.63119
"3","5",0.163,6.57296
"3","6",0.165505555555556,6.44299
"3","7",0.149475,5.97739
"3","8",0.132611111111111,5.07589
"3","9",0.0714722222222222,2.53686
"3","10",0.222811111111111,8.10065
"3","11",0.313105555555556,13.86291
"3","12",0.203819444444444,7.38704
"3","13",0.173205555555556,6.40916
"3","14",0.205386111111111,7.24812
"3","15",0.264352777777778,8.86726
"3","16",0.303855555555556,10.7323
"3","17",0.229161111111111,9.45487
"3","18",0.259802777777778,9.09475
"3","19",0.281322222222222,12.16567
"3","20",0.243405555555556,9.84504
"3","21",0.306319444444444,13.12509
"3","22",0.309308333333333,14.07882
"3","23",0.239919444444444,13.24278
"3","24",0.331844444444444,13.85776
"3","25",0.386633333333333,17.48964
"4","1",0.318130555555556,11.92635
"4","2",0.191827777777778,6.46401
"4","3",0.118925,3.63026
"4","4",0,0
"4","5",0.156830555555556,4.9915
"4","6",0.278097222222222,9.78826
"4","7",0.245480555555556,8.70201
"4","8",0.22165,8.29453
"4","9",0.141594444444444,4.97093
"4","10",0.224413888888889,6.82297
"4","11",0.362505555555556,21.08655
"4","12",0.278402777777778,9.75384
"4","13",0.236413888888889,8.40546
"4","14",0.257175,8.28179
"4","15",0.282963888888889,8.40108
"4","16",0.399861111111111,13.45693
"4","17",0.303744444444444,11.82166
"4","18",0.293608333333333,12.01103
"4","19",0.299936111111111,11.69949
"4","20",0.278438888888889,11.24106
"4","21",0.375444444444444,19.27323
"4","22",0.342208333333333,17.99853
"4","23",0.258530555555556,12.77659
"4","24",0.350458333333333,13.39158
"4","25",0.405247222222222,17.02346
"5","1",0.351086111111111,14.73217
"5","2",0.234719444444444,9.56023
"5","3",0.163433333333333,6.59505
"5","4",0.156830555555556,4.9915
"5","5",0,0
"5","6",0.311052777777778,12.59408
"5","7",0.252813888888889,10.24124
"5","8",0.220816666666667,8.99739
"5","9",0.140758333333333,5.67379
"5","10",0.132372222222222,4.54501
"5","11",0.313872222222222,21.52971
"5","12",0.277566666666667,10.4567
"5","13",0.228727777777778,9.53195
"5","14",0.232569444444444,9.11929
"5","15",0.212202777777778,7.18682
"5","16",0.406744444444444,15.4126
"5","17",0.294997222222222,14.79863
"5","18",0.244977777777778,12.45419
"5","19",0.251305555555556,12.14266
"5","20",0.229808333333333,11.68422
"5","21",0.326813888888889,19.71639
"5","22",0.293577777777778,18.44169
"5","23",0.2099,13.21976
"5","24",0.301825,13.83475
"5","25",0.335425,16.76782
"6","1",0.0410777777777778,1.93437
"6","2",0.160177777777778,5.25614
"6","3",0.186586111111111,6.68851
"6","4",0.299225,10.03471
"6","5",0.325972222222222,12.84871
"6","6",0,0
"6","7",0.10255,3.0144
"6","8",0.155058333333333,5.46016
"6","9",0.213097222222222,8.50626
"6","10",0.369052777777778,23.78728
"6","11",0.1963,9.03123
"6","12",0.170275,5.90356
"6","13",0.1919,6.87506
"6","14",0.292744444444444,10.24581
"6","15",0.379677777777778,13.29477
"6","16",0.187052777777778,5.90063
"6","17",0.167125,6.04567
"6","18",0.246966666666667,8.97054
"6","19",0.344977777777778,20.72966
"6","20",0.323480555555556,20.27122
"6","21",0.185344444444444,9.11898
"6","22",0.188333333333333,10.07271
"6","23",0.254333333333333,15.60544
"6","24",0.363375,13.64632
"6","25",0.418166666666667,17.2782
"7","1",0.124938888888889,4.93984
"7","2",0.123580555555556,4.00614
"7","3",0.144958333333333,6.03058
"7","4",0.237147222222222,8.67889
"7","5",0.247866666666667,10.27234
"7","6",0.0849055555555556,2.80175
"7","7",0,0
"7","8",0.0769555555555556,2.88378
"7","9",0.134991666666667,5.92988
"7","10",0.303488888888889,11.49316
