X,Y,id
1215711.77748579,764453.455288617,1
1215806.00207431,765468.229158648,2
1215426.68164736,766985.428961143,3
1215145.04937972,767884.439858762,4
1215156.15276561,769432.671214672,5
1214886.11485025,770387.48364518,6
1214916.18939593,770874.109574625,7
1215752.33031635,772025.812303544,8
1214991.50610182,773747.766456756,9
1215041.18425987,774474.665796428,10
1216444.70066062,764701.976375584,11
1216548.0502657,766091.982644938,12
1216566.76242085,767281.276638016,13
1216397.26024011,768211.656969154,14
1215948.65759458,769097.775375163,15
1216339.84919953,770001.578095045,16
1216470.69473674,771031.337229103,17
1216942.44989765,772793.963850048,18
1216506.08620976,773442.751778991,19
1216893.62472974,774852.916221775,20
1217475.33633116,764936.287380814,21
1217606.40142245,765783.112261614,22
1217741.81818298,767096.13223481,23
1217826.6787477,768223.256981169,24
1217165.25636382,769372.558618509,25
1217917.2474508,770085.670434489,26
1217519.52796213,771677.239297405,27
1217718.99821197,772278.970313233,28
1217804.06854728,773667.385544794,29
1217259.21048128,774936.283742828,30
1219021.38081791,764747.990196518,31
1218421.88492125,765987.604265035,32
1218381.23099609,766534.363073262,33
