X,Y,id
1222176.34345895,771287.679726291,67
1221977.75897245,772605.011673721,68
1221634.7925325,773143.312914285,69
1222379.96785919,774840.482099354,70
1222851.00215925,764740.157230326,71
1222977.88477199,765285.352207458,72
1223212.77750664,766538.500932922,73
1222860.19899646,767603.133746439,74
1222611.85097908,769405.674755022,75
1223181.45226435,769704.729408795,76
1222653.01599023,771043.910038139,77
1223227.07887345,772045.94841509,78
1222751.98650254,773728.964934247,79
1223175.98023503,774725.715125628,80
1224639.08271925,764311.352611189,81
1224029.97197752,765781.295010481,82
1223963.21942246,766789.729628157,83
1224014.92272618,767941.969838696,84
1223863.38643838,768546.017747816,85
1224024.04327905,770287.310462217,86
1224064.53635358,771251.832909654,87
1224039.97062801,772639.513518621,88
1224523.77649076,773761.626587077,89
1224179.73871877,774179.113734593,90
1225546.90334236,764370.7729158,91
1225301.2920094,766010.710706776,92
1225599.58904074,767202.919778701,93
1225367.05792299,768383.868698728,94
1225446.68508726,769507.125086655,95
1225031.40930052,770488.540715506,96
1225803.57484944,771567.497761861,97
1225655.70548019,772688.524962149,98
1225753.91919986,773585.78312246,99
1224883.68245302,774505.734729401,100
