X;Y;id;
1315025.97124215;772698.208166406;"1"
1315019.21220155;773289.619840018;"2"
1314973.36717063;773782.038596428;"3"
1315116.58161041;774189.690421209;"4"
1315916.8739289;773010.774867398;"5"
1315912.44361186;773423.830041854;"6"
1315753.24949523;773860.634664259;"7"
1315858.56177885;774595.140486405;"8"
1316698.5131514;772926.760218179;"9"
1316871.77997226;773551.998646147;"10"
1316580.33264291;773935.36629731;"11"
1316746.64061194;774638.431159168;"12"
1317826.04928435;773078.937474747;"13"
1317842.76223316;773633.919022914;"14"
1317772.70282599;773912.249250315;"15"
1317580.77761195;774823.194263891;"16"
