X,Y,id,
1217502.53692743,768698.763147103,"1"
1217504.6614979,769290.209626943,"2"
1217466.21763933,769783.261417592,"3"
1217615.53874792,770188.716214752,"4"
1218398.0337881,768997.913464442,"5"
1218399.80795148,769410.98858739,"6"
1218247.19248353,769850.134991072,"7"
1218363.52497296,770582.976196074,"8"
1219178.32296159,768902.168275641,"9"
1219360.96115513,769524.733752742,"10"
1219075.30478364,769912.435621673,"11"
1219252.153843,770612.92327377,"12"
1220308.01756807,769037.393068444,"13"
1220333.06430929,769592.060989112,"14"
1220267.19325222,769871.412094099,"15"
1220088.97184367,770785.137017189,"16"
