FROM_ID,TO_ID,DURATION_H,DIST_KM
1,1,0,0
1,2,0.033708333,0.67418
1,3,0.253225,11.10958
1,4,0.319916667,9.87626
1,5,0.307969444,9.86221
1,6,0.393105556,14.95015
1,7,0.398008333,14.33708
1,8,0.421841667,15.51461
1,9,0.12605,3.72679
1,10,0.282108333,7.98277
1,11,0.243686111,7.01244
1,12,0.261,8.82648
1,13,0.312394444,9.65668
1,14,0.368719444,12.94467
1,15,0.397302778,14.41574
1,16,0.441344444,16.12926
1,17,0.179855556,4.74281
1,18,0.188930556,5.0754
1,19,0.221013889,6.93135
1,20,0.255480556,8.47503
1,21,0.310038889,10.96717
1,22,0.324047222,11.20011
1,23,0.403897222,13.97151
1,24,0.440088889,14.5095
1,25,0.177669444,5.2066
1,26,0.208775,5.72179
1,27,0.234016667,7.98375
1,28,0.273883333,8.91032
1,29,0.308011111,10.23261
1,30,0.366458333,12.81795
1,31,0.475644444,16.24155
1,32,0.493802778,15.28865
1,33,0.182075,5.66114
1,34,0.195191667,6.27776
1,35,0.222113889,7.31275
1,36,0.241902778,8.28494
1,37,0.341108333,11.98451
1,38,0.341775,11.44675
1,39,0.38715,13.02057
1,40,0.476844444,16.56246
1,41,0.325244444,11.03337
1,42,0.224372222,7.71484
1,43,0.239544444,8.1098
1,44,0.286494444,9.81935
1,45,0.319597222,11.43523
1,46,0.377230556,12.67971
1,47,0.405833333,22.11119
1,48,0.562252778,20.01415
1,49,0.335402778,13.17345
1,50,0.299852778,10.44825
1,51,0.330294444,11.3447
1,52,0.321141667,10.45467
1,53,0.333583333,17.02747
1,54,0.423827778,22.27351
1,55,0.508238889,24.90463
1,56,0.531311111,20.04018
1,57,0.331355556,13.22312
1,58,0.312916667,13.48688
1,59,0.324058333,15.24343
1,60,0.364597222,12.37338
1,61,0.452766667,15.64063
1,62,0.471222222,16.35821
1,63,0.458047222,16.00504
1,64,0.499172222,18.25529
2,1,0.033708333,0.67418
2,2,0,0
2,3,0.219516667,10.4354
2,4,0.286205556,9.20208
2,5,0.274261111,9.18803
2,6,0.359397222,14.27597
2,7,0.3643,13.66291
2,8,0.388133333,14.84043
2,9,0.092341667,3.05261
2,10,0.248397222,7.30859
2,11,0.209977778,6.33827
2,12,0.227291667,8.1523
2,13,0.278686111,8.9825
2,14,0.335011111,12.2705
2,15,0.363594444,13.74157
2,16,0.407636111,15.45509
2,17,0.146147222,4.06863
2,18,0.155222222,4.40122
2,19,0.187305556,6.25717
2,20,0.221772222,7.80085
2,21,0.276330556,10.29299
2,22,0.290338889,10.52594
2,23,0.370188889,13.29733
2,24,0.406380556,13.83533
2,25,0.143961111,4.53242
2,26,0.175066667,5.04761
2,27,0.200308333,7.30958
2,28,0.240175,8.23614
2,29,0.274302778,9.55843
2,30,0.33275,12.14377
2,31,0.441936111,15.56737
2,32,0.460091667,14.61448
2,33,0.148363889,4.98696
2,34,0.161483333,5.60358
2,35,0.188405556,6.63857
2,36,0.208194444,7.61076
2,37,0.3074,11.31033
2,38,0.308063889,10.77257
2,39,0.353441667,12.3464
2,40,0.443136111,15.88828
2,41,0.291536111,10.35919
2,42,0.190663889,7.04066
2,43,0.205836111,7.43562
2,44,0.252783333,9.14517
2,45,0.285888889,10.76105
2,46,0.343522222,12.00553
2,47,0.372125,21.43701
2,48,0.528544444,19.33997
2,49,0.301694444,12.49927
2,50,0.266144444,9.77407
2,51,0.296586111,10.67052
2,52,0.287433333,9.78049
2,53,0.299872222,16.35329
2,54,0.390116667,21.59933
2,55,0.474530556,24.23045
2,56,0.4976,19.366
2,57,0.297644444,12.54894
2,58,0.279208333,12.8127
2,59,0.29035,14.56925
2,60,0.330888889,11.6992
2,61,0.419058333,14.96645
2,62,0.437511111,15.68403
2,63,0.424338889,15.33087
2,64,0.465463889,17.58111
3,1,0.251563889,8.27083
3,2,0.217855556,7.59665
3,3,0,0
3,4,0.151683333,5.02126
3,5,0.139736111,5.00721
3,6,0.232236111,9.81552
3,7,0.247061111,9.60984
3,8,0.270894444,10.78737
3,9,0.125513889,4.54405
3,10,0.077938889,2.06381
3,11,0.074233333,2.04073
3,12,0.13875,4.85211
3,13,0.144163889,4.80168
3,14,0.217769444,8.21744
3,15,0.246355556,9.6885
3,16,0.290397222,11.40203
